text,label
"How biased are the BBC regarding the issues in ""The Holy Land"" ?",Not-Sarcastic
"[Q] African Voices, where to watch a past documentary?",Not-Sarcastic
‘Repulsive’: Top Democrats Blast Trump’s FBI Bloodbath,Not-Sarcastic
Robin Hood On BBC iPlayer?,Not-Sarcastic
Report: Hamas Executed 20 Palestinian Anti-War Protestors in Gaza,Not-Sarcastic
Diary Entries Reveal Ben Franklin’s Kite Experiment Was Early Attempt At Erotic Electrostimulation,Sarcastic
"Coal industry will never recover after coronavirus pandemic, experts say",Sarcastic
"Answer this honestly, who like The Sparticle Mystery after the first series?",Not-Sarcastic
"News: Equality FTW: Another Panel Is Being Added To All 23,000 ‘Beetle Bailey’ Comic Strips Where Beetle Proudly Announces He’s Bisexual",Sarcastic
Page 94 The Private Eye Podcast - Conflict And Classrooms,Not-Sarcastic
How a Hillary ‘shill’ went all in for Bernie,Not-Sarcastic
"US government secretly admitted Trump's hurricane map was doctored, explosive documents reveal: 'This Administration is eroding the public trust in NOAA,' agency's chief scientist warns",Not-Sarcastic
"Scarborough calls for arrest of Trump, Giuliani and Trump Jr. for insurrection against US",Not-Sarcastic
Microplastics discovered in human penises for the first time,Not-Sarcastic
"Hulk Hogan Sues Gawker Again Over Leaking Different, Racist Thing He Did",Sarcastic
These New Hampshire voters don’t love everything Trump says. But here’s why they’re planning to back him | CNN Politics,Not-Sarcastic
Many of Sanders’ big money 2016 donors now backing Warren,Not-Sarcastic
Don't do the class war bro. The Mexicans are taking yer jerbs !!!!!!,Sarcastic
Jimmy Carter is fully aware his son smoked with Willie Nelson on the White House roof,Not-Sarcastic
"Even though it's old, I get very sad every time I see it.",Not-Sarcastic
"Men's beards are ""riddled with poop particles""",Not-Sarcastic
'He didn't understand': Disabled man shot dead in Gaza hospital by IDF | ITV News,Not-Sarcastic
"Oh, obviously aliens, giant orbs and kaijus are realistic",Sarcastic
Man trapped inside driverless car as it spins in circles,Sarcastic
Ad stating alcohol is a drug blocked as ‘too political’,Sarcastic
Devastating: A New Study Shows That 60% Of Americans Don’t Have Enough Savings To Cover An Unexpected Bridge Troll’s Gold Coin Fee,Sarcastic
Ukrainians 'will be rounded up in internment camps' as part of Putin's invasion plan - secret service report obtained by Bild in Germany,Not-Sarcastic
Megathread: Supreme Court Justice Ruth Bader Ginsburg Dies at 87,Not-Sarcastic
Hitler and Lover Eva Braun 'Had Sex without Touching or Getting Naked',Sarcastic
